beta1,beta2,z,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.003473798,0.064557912,0.462521278,0.00318813,0.006689497,0.012218605,0.011280516,0.017431993,0.021552841,0.009355407,0.012023142
0.005114726,0.058431009,0.534328015,0.001973726,0.010523207,0.011824597,0.009843705,0.013821711,0.035808653,0.010710551,0.010801426
0.00017426,0.066433642,0.542407642,0.003198062,0.007132671,0.014431875,0.009379771,0.017574586,0.028773105,0.010534865,0.009130952
0.003541528,0.066476095,0.046134726,0.004220919,0.014479052,0.007689859,0.015138684,0.022723707,0.036862808,0.016927152,0.010496524
0.003078217,0.064483036,0.270242428,0.000614742,0.013833174,0.013595007,0.01819684,0.022576956,0.021920668,0.017014424,0.006014528
0.000829102,0.065621774,0.095031076,0.004468538,0.018549615,0.008904926,0.016257127,0.027731887,0.029393495,0.025682613,0.016202772
0.000153812,0.067131856,0.255204799,0.005669841,0.016309068,0.008205866,0.011134075,0.021414175,0.028100105,0.009946011,0.011410954
0.003365515,0.062194953,0.005510376,0.008145054,0.013533299,0.017998028,0.017679398,0.02681529,0.023708039,0.018838567,0.004910744
0.005231834,0.06273065,0.102718069,0.009622593,0.011105699,0.016658827,0.013418661,0.023800221,0.020361456,0.016178627,0.005728908
0.003036467,0.062815932,0.077640521,0.007400846,0.013418329,0.013430942,0.013547678,0.029395996,0.031859936,0.022888671,0.008297091
0.000234897,0.066700282,0.27100276,0.002675929,0.015363473,0.009757147,0.012638118,0.025778479,0.023245596,0.013113553,0.00766899
0.002455853,0.066903007,0.239929351,0.002734705,0.014367964,0.011604223,0.010742557,0.025023155,0.02431033,0.006927882,0.013467643
0.001115352,0.067349388,0.345503295,0.002845079,0.012290389,0.015871455,0.007081375,0.025889874,0.021194111,0.010264353,0.018327521
0.003568839,0.062455147,0.473924601,0.000965459,0.010325209,0.016484631,0.008715779,0.019928028,0.027905014,0.013426185,0.010392656
0.004425246,0.061064444,0.254892719,0.004105555,0.013963901,0.012487548,0.014049969,0.019644514,0.030571517,0.014328077,0.01692987
0.000772386,0.070282433,0.027963335,0.005783351,0.016029982,0.009772927,0.018937159,0.021622466,0.021606785,0.01047825,0.01084622
0.003425039,0.061899155,0.505831587,0.002583233,0.009468479,0.008439926,0.005859458,0.026054274,0.023909192,0.029230611,0.021040686
0.000806444,0.065183899,0.048164186,0.009307882,0.010700251,0.020369869,0.014822651,0.026523845,0.030860727,0.015997403,0.013632422
0.000676008,0.065716766,0.10038404,0.007655054,0.012928963,0.016170012,0.019981491,0.019439229,0.037991609,0.020818936,0.01767619
0.002783252,0.066256183,0.390680698,0.00124235,0.008155011,0.015988372,0.013572268,0.017187325,0.031708336,0.015038322,0.012787556
0.001262765,0.065216938,0.426313166,0.001680587,0.008674371,0.017642877,0.014657314,0.019543848,0.025080033,0.02184792,0.008677383
0.000230267,0.068689832,0.005677074,0.009794859,0.014195,0.009904902,0.022528575,0.021848828,0.026494764,0.018667938,0.009197083
0.0010517,0.065742252,0.315956603,0.007673495,0.012526877,0.012957355,0.011829856,0.022759621,0.018178549,0.014501378,0.004899422
0.002112368,0.063910042,0.20648341,0.003480226,0.017407091,0.01053399,0.016312695,0.023255801,0.024063644,0.020322693,0.007321678
0.000327957,0.068963117,0.362785357,0.001415475,0.014186954,0.007899924,0.012328505,0.019641212,0.025793553,0.011698987,0.015506977
0.001310065,0.070070235,0.474019066,0.00119269,0.00839054,0.014467661,0.008818944,0.022795315,0.011588329,0.011860236,0.012970438
0.001282188,0.066535882,0.408867649,0.000766149,0.011854649,0.013611026,0.01335202,0.020418477,0.025608503,0.016371349,0.00664632
0.003865891,0.067214427,0.06068145,0.007526024,0.013811166,0.012642342,0.014475385,0.021005041,0.031325763,0.008285721,0.012322721
0.001130328,0.069760639,0.23644436,0.006804276,0.007327263,0.015522314,0.014084018,0.022153437,0.027651323,0.007639029,0.023562284
0.000886944,0.068450195,0.664579647,0.000624941,0.005703197,0.012010439,0.007875571,0.013374116,0.032844862,0.007211873,0.01219735
0.000330811,0.070504889,0.467344405,0.000166577,0.010294913,0.009671691,0.013353429,0.016458868,0.026647818,0.015400404,0.016808539
0.002280628,0.065131454,0.41368999,0.001836216,0.010670052,0.013211999,0.016278473,0.019891227,0.023100311,0.015145437,0.007297485
0.001409943,0.067808462,0.426235384,0.004228665,0.009934633,0.00952392,0.010415431,0.021523058,0.023942177,0.017477557,0.006413758
0.004932169,0.060564061,0.207631718,0.00525607,0.018144518,0.003883106,0.010960934,0.025992482,0.024683806,0.019162651,0.012280745
0.001238938,0.063097413,0.441090712,0.001128328,0.017627996,0.00267081,0.015280514,0.018861076,0.029162929,0.012622698,0.010133587
0.000903611,0.070677541,0.123819335,0.004091987,0.012907242,0.015991093,0.013614415,0.026682796,0.0125255,0.016661188,0.007591249
