beta1,z,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.043095024,0.562074256,0.005939006,0.010934527,0.005204391,0.013496872,0.018846583,0.016653475,0.009228626,0.008557833
0.043098384,0.053281408,0.008758807,0.014159266,0.012822132,0.017007538,0.027145143,0.017995543,0.013517132,0.007017714
0.043216967,0.709257402,0.006619717,0.002485372,0.009128508,0.008100233,0.015071902,0.019645143,0.01014504,0.011589716
0.043333958,0.488675971,0.001645793,0.009909953,0.011950861,0.013410363,0.02063277,0.016853724,0.014744049,0.005046301
0.043171244,0.461116172,0.008259888,0.004447035,0.012694572,0.01122972,0.020154362,0.011427015,0.006760702,0.010745796
0.043383323,0.125972702,0.015624584,0.008652331,0.011841331,0.021284371,0.024056594,0.011468934,0.012072119,0.011958276
0.043351768,0.056861084,0.013254157,0.011094566,0.011221479,0.018400581,0.019574598,0.022687724,0.015925953,0.0066388
0.043250366,0.235300387,0.00983367,0.009771252,0.004566543,0.010721254,0.024804113,0.021866003,0.01415368,0.014278686
0.043126441,0.111418042,0.018984411,0.006978911,0.009450018,0.02417194,0.019350172,0.01557546,0.018448838,0.007458437
0.042867453,0.68268399,0.001619338,0.009360433,0.008931895,0.009557759,0.018150625,0.020003171,0.011798616,0.010459468
0.042832104,0.010517355,0.008045671,0.017060655,0.005460783,0.017858174,0.021425064,0.022307795,0.009853257,0.021891595
0.042978174,0.359875996,0.004719075,0.012366545,0.005922744,0.014155517,0.020627708,0.016571732,0.012732072,0.007697764
0.04333616,0.549341505,0.003161231,0.006983999,0.015866665,0.018776178,0.014005588,0.019752085,0.014714226,0.009780866
0.043486248,0.537931084,0.00343867,0.009150026,0.0046779,0.0106704,0.017134916,0.013781953,0.011308691,0.005729517
0.042964976,0.141937856,0.007736517,0.010249101,0.014332855,0.017268607,0.026854357,0.017038009,0.021370881,0.006444043
0.04260402,0.244199852,0.006556344,0.011861529,0.004380777,0.012860286,0.025072286,0.015098506,0.004207262,0.012244691
0.042482855,0.125334058,0.010300493,0.015522442,0.005859098,0.020626222,0.020258284,0.028042651,0.007686514,0.021464219
0.042946124,0.421716207,0.00332615,0.009682378,0.010585876,0.010625999,0.02055889,0.020846888,0.013067843,0.005265471
0.043388384,0.424844725,0.003221792,0.009022336,0.010088291,0.009216368,0.018888427,0.01610705,0.014093728,0.00429873
0.043990141,0.128137433,0.013663037,0.006757497,0.009907606,0.014511716,0.026618824,0.016930346,0.015976218,0.008449793
0.044208466,0.129569779,0.004985941,0.011372238,0.010583742,0.015152821,0.023901734,0.022261202,0.01584913,0.004447261
0.043420088,0.097030573,0.013021166,0.008737944,0.014598331,0.021238718,0.021594002,0.020633222,0.018511262,0.007374381
0.043370238,0.204523447,0.007133307,0.012937708,0.010099073,0.02184997,0.015104614,0.022747954,0.019972746,0.012902957
0.043610019,0.153701719,0.015169684,0.006688637,0.007085733,0.015682687,0.018764705,0.028997775,0.018444319,0.010349527
0.043533818,0.016783737,0.009510966,0.01346347,0.011449639,0.014769016,0.024254633,0.019936022,0.019583002,0.005931783
0.043175448,0.294996658,0.010538464,0.009901985,0.007359345,0.012561338,0.027353295,0.013408538,0.014084527,0.010806783
0.04330275,0.037661385,0.014961904,0.010037033,0.010778324,0.017990928,0.028402937,0.016217651,0.02112393,0.01238971
0.042861491,0.618729858,0.002565303,0.009255798,0.009139626,0.012255707,0.016509675,0.019332009,0.01340838,0.007531521
