beta1,beta2,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.001495527,0.039171974,0.008463045,0.013385668,0.015960486,0.017894003,0.029983493,0.024182286,0.022954093,0.009217697
0.004337126,0.038900227,0.005254219,0.018041885,0.008869001,0.011964769,0.025293027,0.034462849,0.018783884,0.013458583
0.004584307,0.037401912,0.012475976,0.012392385,0.017428946,0.015243546,0.026631057,0.028897357,0.017746428,0.007621513
0.002297012,0.037652718,0.012634031,0.013877766,0.017806561,0.01682559,0.03031147,0.018971146,0.021086711,0.013493283
0.000181272,0.039337056,0.010300118,0.010056287,0.02296589,0.021831109,0.024210066,0.035808967,0.016749375,0.011447436
0.004692674,0.037516573,0.004943772,0.020079922,0.013959152,0.016719834,0.030082381,0.025555145,0.02537232,0.010735477
0.001926691,0.043079568,0.012289978,0.015286108,0.014354048,0.017878016,0.022417632,0.026977103,0.018229159,0.005209379
0.000877884,0.04246711,0.008753181,0.016365284,0.020268052,0.01766448,0.025813202,0.023673866,0.019790594,0.015091711
0.003940672,0.043156179,0.00658674,0.013677348,0.014676835,0.011435242,0.023572959,0.032500609,0.019477821,0.008375616
0.00106358,0.041197819,0.00652084,0.016536061,0.011835449,0.023005963,0.022959023,0.032564348,0.022847102,0.017552036
0.00084511,0.039971374,0.004942205,0.018494022,0.018093183,0.02284967,0.024551703,0.027911853,0.022802235,0.007912705
0.005666102,0.035536792,0.00773354,0.014235092,0.017535778,0.020072421,0.025356575,0.030001976,0.01703958,0.011197839
0.000886796,0.039819543,0.014840082,0.008361746,0.020728619,0.017008594,0.024784313,0.035315085,0.015425136,0.010385949
0.009586267,0.034733706,0.005733574,0.016029574,0.013322523,0.015206931,0.027237415,0.028263252,0.024221026,0.010346246
0.004383233,0.040876996,0.006310456,0.018002181,0.010238348,0.021525544,0.022444773,0.026468451,0.017489072,0.009192249
0.000642072,0.038991832,0.012012268,0.010330253,0.025605688,0.02256448,0.021375603,0.040230656,0.034141208,0.022174763
0.000562667,0.038843967,0.007963933,0.017269524,0.012945287,0.017057755,0.025679664,0.038789665,0.010901817,0.023076763
0.001679807,0.04006356,0.003588227,0.016684132,0.014551633,0.019795545,0.027754954,0.025715596,0.022164179,0.01149798
0.004977263,0.036134534,0.005368977,0.016610537,0.022707011,0.015323057,0.023766841,0.036155827,0.020724073,0.009813351
0.00546805,0.038909258,0.007431147,0.017056648,0.013485733,0.015221918,0.026799667,0.021084428,0.019728575,0.009913971
0.002260627,0.039952683,0.006861127,0.015377195,0.009861978,0.019987437,0.022356601,0.036479976,0.013399232,0.01504149
0.001440521,0.042704988,0.011328707,0.010998711,0.014293134,0.01936921,0.023957914,0.02931154,0.018626736,0.011881441
0.00170741,0.04170068,0.010354742,0.010779207,0.015854772,0.016455237,0.02555671,0.028521678,0.020516442,0.005707806
0.001077249,0.042246582,0.011522953,0.015411455,0.013582319,0.016901668,0.029354293,0.019476014,0.015713509,0.006298183
0.003130167,0.039551753,0.007741568,0.014963972,0.01259569,0.013498398,0.030291119,0.028287085,0.009947184,0.015442226
0.000693125,0.041366736,0.004104843,0.018315771,0.015286185,0.017535358,0.024537045,0.030110875,0.01755225,0.010277784
0.002262314,0.039965608,0.01103797,0.015436969,0.018356994,0.012361307,0.025670322,0.026305842,0.01648909,0.006076041
0.001424986,0.039470388,0.012932008,0.012644514,0.009677623,0.023745637,0.024417831,0.029026281,0.016222029,0.008557836
0.00528754,0.037222981,0.010828921,0.013100943,0.014882589,0.019006254,0.025634325,0.025870846,0.017969693,0.009830221
0.009135268,0.033705598,0.010406595,0.013850687,0.015264276,0.017554999,0.0253769,0.031356265,0.019344562,0.007708378
0.002813329,0.040388359,0.010202144,0.012832919,0.017180937,0.018895219,0.023079113,0.030670252,0.022415734,0.009142198
0.002792648,0.041233455,0.005938133,0.016958111,0.009586173,0.019926204,0.023927325,0.031032589,0.022028008,0.006659193
0.002048806,0.042295918,0.006312236,0.01512239,0.011285259,0.025196336,0.023967843,0.02127779,0.015658868,0.007505526
0.004267643,0.036952791,0.015933358,0.013316021,0.015555619,0.013847471,0.032528107,0.019376577,0.016102042,0.012796877
9.42E-05,0.041087746,0.003885327,0.019439993,0.023642676,0.01729543,0.022938899,0.03322513,0.027618446,0.015086611
0.000506637,0.038921773,0.009524521,0.013754816,0.014506232,0.02478944,0.022835804,0.034885696,0.017857372,0.006424448
0.004829322,0.040028843,0.009365809,0.014465616,0.009636191,0.019540194,0.026527885,0.02065134,0.017094004,0.003963594
0.003387554,0.038628629,0.00605648,0.018362869,0.010802874,0.015822181,0.026266774,0.030034262,0.0135768,0.018858448
0.003904249,0.042141619,0.011247748,0.013367227,0.010997841,0.018987399,0.022590541,0.025642618,0.018846728,0.005917215
0.001092357,0.041563441,0.011682531,0.014399429,0.016787333,0.018591646,0.025649742,0.028319711,0.018638121,0.004075862
0.000193085,0.0427468,0.008669414,0.013777104,0.013525916,0.016068406,0.024229888,0.035614032,0.024375871,0.024030505
0.003192974,0.038035365,0.006671084,0.014079682,0.019286922,0.015970229,0.026985748,0.031076814,0.017665802,0.006850749
0.004946547,0.03650653,0.008511732,0.014574574,0.013386012,0.017395339,0.0286872,0.026530134,0.016447362,0.010395231
