beta1,beta2,z,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.000158423,0.043856223,0.266283331,0.007972715,0.00841518,0.015188508,0.01330537,0.021459607,0.031124936,0.020737287,0.008788756
0.003534846,0.048458039,0.754980032,0.001583484,0.004590173,0.008490935,0.006328347,0.015519263,0.019528932,0.006533667,0.010744491
0.001947007,0.046090063,0.913707444,0.000725376,0.00314415,0.009621146,0.003683686,0.017900263,0.02314466,0.00841591,0.00729999
0.008782578,0.03676823,0.12158175,0.004599774,0.015361801,0.014863639,0.016682117,0.020503881,0.029290724,0.016271896,0.00473498
0.001793842,0.046561226,0.672050746,0.004981877,0.005170097,0.009533539,0.006460451,0.016360479,0.027408464,0.018206828,0.023081123
0.004821277,0.043412773,0.658968998,0.001592784,0.005989721,0.014983847,0.011103303,0.015256484,0.023104073,0.010970097,0.012894967
0.00500905,0.038245607,0.298480552,0.004464633,0.012978347,0.011528392,0.014588309,0.019224577,0.038349255,0.014390461,0.011714335
0.003908238,0.041347658,0.371899795,0.007747137,0.005481037,0.017441452,0.014521709,0.01775346,0.032489343,0.011476054,0.012260106
0.003651821,0.039015492,0.012539805,0.008134797,0.019927128,0.008357344,0.015401217,0.023774793,0.03131414,0.019284687,0.016816085
0.00245281,0.043018082,0.423131197,0.00411049,0.008655409,0.005621294,0.017604491,0.018433909,0.028712083,0.021834753,0.016820899
0.000632266,0.046228181,0.15034518,0.008368312,0.013192033,0.010164341,0.016021875,0.02195955,0.023928088,0.008508642,0.011883194
0.001421096,0.048386518,0.388890707,0.005170332,0.008976708,0.009782443,0.012629327,0.016274759,0.027698696,0.015934934,0.008464838
0.00857585,0.037266116,0.008909551,0.006609389,0.015033189,0.007831477,0.021251366,0.020048306,0.028322822,0.019874626,0.012355831
0.001753129,0.043044651,0.743763435,0.002248092,0.003823397,0.009824534,0.005661194,0.023091155,0.025657773,0.015849713,0.011678323
0.000326689,0.050913898,0.933319329,0.002072591,0.00110458,0.012547222,0.004115007,0.013569543,0.020358719,0.006983896,0.009015211
0.001109511,0.039251815,0.055571275,0.014562623,0.010831342,0.016399196,0.018339417,0.023473308,0.03206362,0.016234372,0.009397521
0.002203717,0.041008705,0.411218312,0.005313368,0.011246143,0.00895802,0.012770895,0.0194555,0.033790983,0.014723834,0.006656893
2.69E-05,0.046831487,0.422086185,0.002476335,0.008603719,0.01232551,0.008409619,0.024461983,0.027347499,0.014760804,0.008469805
0.004532002,0.044300857,0.345460626,0.004557882,0.011585284,0.006324287,0.013925099,0.017716413,0.02942024,0.012268238,0.018221201
0.001713875,0.04411558,0.540516649,0.004901546,0.008612342,0.011057686,0.008672523,0.02038103,0.024721138,0.019512586,0.011763621
0.001611651,0.045560103,0.686585282,0.00393033,0.009135991,0.00970081,0.00684083,0.021060218,0.018371626,0.00054137,0.046328485
0.001118873,0.046562487,0.980278017,0.003381897,0.002082299,0.010692533,0.003337532,0.016962413,0.021452426,0.003780891,0.016858031
0.000130356,0.042859144,0.094242582,0.004294418,0.014242425,0.01589549,0.016134811,0.028694098,0.020966389,0.028360974,0.017502178
0.001485935,0.048074085,0.972667587,0.001719824,0.003499053,0.010979167,0.002800387,0.016825288,0.015906371,0.008846365,0.007500418
0.000974535,0.041931915,0.177411094,0.005416144,0.015277285,0.014766914,0.015289954,0.025592571,0.025294879,0.030990938,0.027233004
0.004608961,0.043355412,0.487037514,0.002123663,0.009094951,0.013715893,0.011747478,0.017210475,0.025275672,0.011760841,0.012019513
0.008399061,0.035917552,0.125147995,0.01044489,0.011033189,0.012182057,0.01593701,0.023593688,0.031104306,0.024712163,0.014418225
0.003838416,0.03944761,0.029399211,0.011690189,0.011258649,0.019983947,0.020577785,0.019287498,0.034711567,0.020765428,0.016351338
0.003141645,0.038295864,0.129996337,0.010574636,0.01477479,0.011818377,0.012458863,0.025746174,0.032722115,0.010989031,0.013886061
0.001081701,0.041622166,0.722263303,0.003082177,0.009009422,0.009115476,0.006468075,0.01881166,0.033927141,0.015122806,0.013462448
0.002938779,0.039177311,0.054801808,0.006327639,0.016328924,0.013445426,0.013634236,0.026789011,0.029566089,0.017886044,0.010130749
4.18E-06,0.047055482,0.071344204,0.010220637,0.011459217,0.01375123,0.012839712,0.027174236,0.019606814,0.019432252,0.004672944
8.51E-05,0.048216441,0.65375547,0.004057615,0.008849608,0.008990902,0.007481865,0.0195348,0.017624554,0.015268678,0.007500973
0.000786435,0.046280493,0.533842155,0.000648036,0.00996905,0.007455104,0.006898554,0.020343608,0.029365087,0.016066669,0.012756473
0.002396626,0.040043528,0.106990092,0.00555407,0.013361578,0.018056877,0.012547783,0.024416888,0.0378929,0.023825075,0.021485138
0.001280909,0.040113328,0.065364847,0.008292698,0.012409486,0.016789409,0.017483262,0.026505277,0.033250738,0.026648548,0.013187474
0.00016921,0.041354669,0.042535297,0.011570717,0.010705189,0.022549093,0.014493511,0.025014009,0.032151653,0.012255759,0.009673818
0.000382575,0.048874166,0.450141759,0.004405573,0.010045984,0.014251371,0.011342823,0.01540838,0.022047845,0.011987614,0.009061323
0.002524344,0.041018864,0.188170986,0.00385693,0.016284766,0.011035808,0.016119125,0.025375082,0.020995,0.012319411,0.010204485
0.001015206,0.044119304,0.440051837,0.004313004,0.011400583,0.01403847,0.01122786,0.019237859,0.024907036,0.010610102,0.008048631
0.001776315,0.043959231,0.190505277,0.00390427,0.014712698,0.013330235,0.018450049,0.017826395,0.027741081,0.01946962,0.00707117
0.001724229,0.043477264,0.302765401,0.009573039,0.008737593,0.016795912,0.012289981,0.021184598,0.023814244,0.016742013,0.006932322
0.001516731,0.041108865,0.283807091,0.005465574,0.012561196,0.012342529,0.013244224,0.021344707,0.036662234,0.019995814,0.011665479
0.000910434,0.042385793,0.336094841,0.006033464,0.009542935,0.01476323,0.008527205,0.024155781,0.030816247,0.013352086,0.010300325
2.42E-05,0.045101026,0.420955582,0.003492457,0.01498753,0.006074939,0.014521555,0.021173823,0.020058821,0.016504184,0.00695446
0.004196498,0.041115017,0.685966675,0.000734723,0.009402021,0.011391687,0.012581098,0.017142584,0.022040229,0.007711784,0.014337553
0.004118936,0.039932427,0.179970152,0.002850122,0.012507897,0.010969521,0.016007604,0.020893832,0.037930355,0.029144229,0.016808509
0.003701686,0.041238262,0.65284077,0.004820782,0.008554159,0.013581674,0.010477851,0.017984554,0.022810119,0.014134183,0.006097393
0.010121642,0.034270743,0.431824373,0.001772353,0.012636968,0.006852464,0.008019951,0.030346164,0.019785805,0.009837375,0.010567197
0.000848534,0.047812896,0.264435316,0.006612705,0.009383898,0.009197463,0.01957312,0.020693113,0.015063741,0.010568637,0.005046673
0.000346041,0.045568023,0.4537947,0.003476704,0.007650887,0.010416026,0.013827306,0.019360245,0.029154488,0.012361113,0.009371764
0.00148255,0.044641406,0.432007173,0.000207862,0.014732862,0.010788469,0.010679375,0.016948049,0.033917679,0.016502749,0.023022356
0.001135925,0.039463037,0.13663053,0.005041517,0.017114568,0.01404448,0.015706581,0.022262624,0.038951421,0.014075546,0.012354381
0.001246663,0.040954022,0.315794897,0.005266159,0.015256273,0.012079069,0.014551791,0.021262907,0.027956915,0.018266422,0.005716692
0.006317363,0.035814923,0.12838557,0.008984532,0.009456254,0.01663406,0.016015975,0.020184674,0.046581693,0.026582427,0.030165512
0.001704674,0.039555215,0.351520282,0.00628092,0.010239539,0.012799028,0.011560062,0.025274979,0.036907861,0.016622699,0.010206022
0.000835058,0.048441071,0.61665622,0.001560744,0.009233387,0.012774202,0.009010757,0.014286949,0.02538927,0.010720381,0.006851278
0.004834107,0.041843455,0.431773516,0.002673661,0.011132456,0.011670414,0.006515449,0.019917332,0.033604794,0.011747183,0.01059055
0.00323673,0.039471401,0.069189911,0.008105682,0.014548193,0.012135037,0.015375337,0.0275028,0.024372373,0.015161804,0.005324848
0.000577148,0.045033724,0.640491173,0.003303348,0.014516562,0.005069017,0.008083712,0.021604235,0.015731353,0.008637157,0.006768113
7.64E-05,0.042880235,0.158039959,0.013912474,0.011579011,0.014446095,0.015043971,0.024295024,0.024803583,0.017382497,0.007534989
0.003833353,0.03746933,0.386904279,0.006879126,0.008155329,0.019322971,0.014625694,0.020256549,0.034513544,0.020932215,0.014033606
0.001714604,0.040900898,0.466434881,0.003596912,0.012892328,0.014741492,0.012548386,0.018562969,0.031671807,0.010182013,0.016440355
0.007112361,0.038021885,0.057470042,0.009332635,0.013924567,0.012655134,0.013848385,0.023374875,0.031926986,0.03315946,0.020354773
0.001425011,0.045326519,0.215679216,0.006314844,0.009437362,0.016596597,0.018453855,0.016482225,0.029722331,0.009331672,0.055798284
0.003712906,0.039370928,0.820948758,0.000766781,0.004119364,0.014293203,0.009665817,0.013312466,0.037899908,0.013823682,0.009393973
0.000155666,0.046263887,0.59602139,0.000111849,0.008962172,0.018089188,0.011450779,0.016680944,0.023750506,0.01688935,0.009131415
0.006405046,0.035326517,0.676744622,0.002541124,0.008996429,0.007376221,0.00581935,0.026509262,0.028089857,0.011166021,0.021773973
0.003149193,0.039686532,0.129913813,0.011744865,0.013325299,0.008847753,0.017504766,0.02419497,0.028375124,0.015448443,0.008902519
0.000912463,0.044465978,0.524082305,0.003273865,0.011616867,0.00814944,0.01292298,0.016059617,0.030638508,0.01235985,0.00755669
0.002092907,0.039440059,0.220951933,0.005618647,0.009722036,0.01612167,0.016250507,0.025021002,0.032688891,0.026977842,0.011287664
0.000840945,0.039841281,0.017840406,0.004674142,0.014740873,0.022012795,0.014574451,0.03020701,0.023276355,0.014802815,0.015502474
0.000983791,0.04197841,0.091299917,0.010483467,0.010688295,0.016851471,0.017918629,0.021541778,0.030282614,0.019369471,0.015539289
0.005439814,0.040801431,0.222419115,0.006976325,0.010435322,0.011532205,0.013907526,0.024324913,0.021564217,0.019664386,0.01142724
0.001621424,0.042173838,0.337930276,0.003777248,0.015853143,0.008401042,0.012696673,0.019883047,0.03186937,0.014108943,0.010088427
0.002441751,0.041612987,0.110851962,0.010018775,0.010685527,0.015998836,0.01475654,0.020196615,0.038319758,0.015369131,0.013079192
0.000764475,0.042560115,0.541227754,0.001622648,0.010956603,0.010022305,0.010076884,0.020920772,0.031991013,0.000961981,0.010790271
0.001261291,0.040135236,0.02363394,0.010570433,0.013088238,0.014843319,0.0150036,0.027746824,0.034196924,0.019529014,0.006819191
0.00296594,0.043198503,0.310671598,0.002525105,0.01099488,0.008696236,0.013370296,0.024217757,0.025059725,0.010499665,0.010865589
0.006218784,0.036213943,0.168160938,0.005839354,0.013082635,0.025339565,0.014577278,0.022923435,0.028654776,0.010506742,0.019679167
